MANCODIGO,SITP_Count
003208057,39
003208058,38
003208059,37
003208060,36
003208061,33
003208062,30
008205001,76
008205002,79
008205003,47
208125060,27
208125061,27
208125062,27
208125063,27
208125064,28
208125065,28
208125066,27
208125067,28
208125068,28
208125069,27
208125070,26
003207002,57
003207005,53
001411015,39
001411029,39
001207005,41
003202014,74
002445067,37
003205018,59
009133048,3
009133040,7
009133046,2
001104005,24
001104002,25
002594054,32
002453001,70
002445074,27
002431097,33
008312022,67
008313001,53
008313002,56
008313003,63
008313004,53
008308013,43
008308014,46
008308015,48
008308016,50
008308017,48
008308018,50
008308019,52
008308020,52
008308021,51
008308022,47
008308023,46
008308024,45
008308025,47
008308026,47
003202023,65
003202024,65
003202025,74
003202026,68
003202027,66
003202028,68
003202029,62
003202030,65
003202031,65
008205004,74
008205005,40
008205006,49
008205007,47
008205008,40
208107040,15
208107044,12
208108020,18
208108021,18
208108024,21
208108054,18
208108058,15
208108059,17
208110047,24
208111019,27
208107045,10
208107050,9
005307007,53
001416016,55
001317005,39
001317011,40
001317010,39
007301023,52
003102031,47
003102032,50
003102033,52
003102034,54
003102036,53
003102038,45
003107001,29
009203013,49
008313005,53
008313006,58
008313007,67
008313008,66
008313009,62
008313010,54
008313011,60
008313012,75
008313013,64
008313014,55
008306007,72
008306008,73
008306009,78
008306011,73
008306012,71
008306013,82
008306014,88
008306015,80
008306016,74
008306017,82
008306018,68
008306019,76
008306020,64
003202032,69
003208036,32
003208039,30
003208040,39
003208041,40
003208042,41
003208043,43
003208044,54
003208046,52
003208047,55
003208049,58
003208050,59
008204015,37
008204016,40
003202040,71
003202041,61
003202043,68
003202044,62
003202045,50
003202047,73
003202048,69
003202060,74
003101001,69
007302027,65
008206014,32
008206015,31
008206016,30
008520009,68
008206020,36
008207001,80
008207002,77
008207004,72
005202035,34
007301014,47
005202001,31
006106006,47
008403017,57
208125071,28
208125072,28
208125073,27
208125074,26
208125075,28
008306021,66
008213026,91
008213027,85
008213028,91
008213029,88
008213030,88
008213032,79
008213033,81
008213034,84
008302001,24
008302006,23
008302007,20
008302008,52
202506099,16
008204018,36
008204019,59
002617031,17
202513014,26
005629034,58
005609022,73
009226003,20
002619041,27
208107008,14
208107012,11
208107007,15
208107038,15
208107041,13
208107042,13
208107047,8
208107048,8
208107049,9
208107010,12
004604040,132
009226047,26
008302010,22
003101005,61
003101006,59
003101007,58
003101008,55
003101009,64
003101010,70
003101013,62
008302002,26
007302020,60
008205010,35
008205011,28
008205012,31
008205013,34
208125076,28
208125077,27
208125079,27
208125085,26
208125092,26
208125097,22
007104030,73
009226029,32
003207006,55
003207008,53
003207009,47
003207010,37
003207011,36
003207012,37
003207013,36
002309009,37
002309011,43
006203003,60
006203004,56
001301047,80
001350013,25
008313015,56
008313016,51
008313017,56
008313019,69
008313020,65
008313022,53
008313023,65
008313024,51
008313025,56
008313026,52
008313027,52
008313028,60
009256061,28
004604040,132
208107037,15
208107039,15
003202033,83
003202034,66
003202035,70
003202036,60
003202037,70
003202038,66
003202039,66
003208053,48
008205014,38
008205015,34
008205016,35
008205017,18
208125001,26
208125003,26
208125004,27
208125005,28
208125006,28
208125007,28
208125010,28
208125013,28
005507059,39
003207014,41
003107002,25
003107003,26
003107004,26
003107005,34
003107006,38
003107007,36
003107008,28
003107009,26
003107011,29
003107012,31
003107013,36
003107014,44
008313029,52
008313036,52
008306022,67
008306023,56
008306024,66
008307001,42
008307002,50
008307003,48
008307004,45
008307005,46
008307006,50
008307008,46
008307010,52
008307011,64
008307012,58
008213035,80
008213036,76
008213037,87
008213038,79
008213039,89
008308079,49
008308080,39
008308081,45
002309031,41
002309032,40
008309004,46
003208090,62
008304011,14
008304012,24
008304013,14
008304014,30
008208011,74
002584034,28
002565004,24
003205001,55
003205002,60
003205003,61
003205004,58
003205005,59
003205007,63
003205010,60
003205011,65
003205012,61
002303031,56
002303032,54
003101014,61
003101016,59
003101018,67
003101019,63
008310021,50
008310022,43
008311001,54
008311002,51
008311003,53
008311004,52
008311005,50
008311006,57
008311007,63
008311008,70
008311009,68
008305006,40
008305007,42
008213040,83
008213041,80
008214001,95
008214002,86
008302009,45
008303001,38
008303002,33
008303003,33
008208012,67
008208013,71
008208014,71
008208015,71
008208016,67
008208017,75
008215011,61
008215012,31
008215013,35
008215015,30
008215017,51
008220001,49
003101020,62
003101021,60
003101022,58
003101023,61
003101024,61
003101025,63
008205018,15
008205019,29
008205021,15
008205026,16
008205027,37
008205029,12
008205035,12
008205040,12
008205042,12
008205047,29
008205048,34
002561027,44
001324019,34
008305008,39
008305010,33
008305011,35
008212007,82
008212008,77
008212009,80
008212010,80
008212011,84
008212012,89
008212013,83
008212014,82
008212015,80
008212016,77
008212017,74
008212018,81
008212019,80
008303004,35
008303005,25
008314001,44
008314002,44
008314003,46
008314004,49
008314005,47
008314006,46
008314007,49
008314008,48
008314009,47
008314010,52
008314011,51
008314012,51
008314013,51
008314014,50
008314015,50
008307013,57
008307014,49
008307015,66
008307016,57
008307017,48
008307018,46
008307019,49
008307020,66
008307021,61
